channel,method,snr_db,upload_s,txside_s,inference_s,total_s
rayleigh,M1_image,-5.0,3.7201,0.0,0.597,4.3171
rayleigh,M3_token,-5.0,0.0146,0.0373,0.0373,0.0892
rayleigh,M4_adaptive,-5.0,1.6443,0.0128,0.4051,2.0622
rayleigh,M1_image,0.0,1.6344,0.0,0.5975,2.2319
rayleigh,M3_token,0.0,0.0146,0.0373,0.0373,0.0891
rayleigh,M4_adaptive,0.0,0.9042,0.0128,0.4054,1.3223
rayleigh,M1_image,5.0,0.8311,0.0,0.5977,1.4288
rayleigh,M3_token,5.0,0.0146,0.0373,0.0373,0.0891
rayleigh,M4_adaptive,5.0,0.464,0.0128,0.4055,0.8823
rayleigh,M1_image,10.0,0.6421,0.0,0.5983,1.2404
rayleigh,M3_token,10.0,0.0146,0.0373,0.0373,0.0891
rayleigh,M4_adaptive,10.0,0.3597,0.0128,0.4059,0.7784
rayleigh,M1_image,15.0,0.5091,0.0,0.5985,1.1076
rayleigh,M3_token,15.0,0.0146,0.0373,0.0373,0.0891
rayleigh,M4_adaptive,15.0,0.2317,0.0128,0.406,0.6505
rayleigh,M1_image,20.0,0.3806,0.0,0.5985,0.9791
rayleigh,M3_token,20.0,0.0146,0.0373,0.0373,0.0891
rayleigh,M4_adaptive,20.0,0.1756,0.0128,0.406,0.5944
rayleigh,M2_analog,-5.0,0.3,0.0,0.0,0.3
rayleigh,M2_analog,0.0,0.3,0.0,0.0,0.3
rayleigh,M2_analog,5.0,0.3,0.0,0.0,0.3
rayleigh,M2_analog,10.0,0.3,0.0,0.0,0.3
rayleigh,M2_analog,15.0,0.3,0.0,0.0,0.3
rayleigh,M2_analog,20.0,0.3,0.0,0.0,0.3
rayleigh,M0_naive,-5.0,5.2828,0.0,0.5882,5.871
rayleigh,M0_naive,0.0,5.2828,0.0,0.5889,5.8718
rayleigh,M0_naive,5.0,5.2828,0.0,0.5902,5.8731
rayleigh,M0_naive,10.0,5.2828,0.0,0.5908,5.8736
rayleigh,M0_naive,15.0,5.2828,0.0,0.5909,5.8737
rayleigh,M0_naive,20.0,5.2828,0.0,0.591,5.8739
